#
#<?php die('Forbidden.'); ?>
#Date: 2020-04-03 10:13:57 UTC
#Software: Joomla Platform 13.1.0 Stable [ Curiosity ] 24-Apr-2013 00:00 GMT

#Fields: datetime	priority clientip	category	message
2020-04-03T10:13:57+00:00	WARNING ::1	jerror	Username and password do not match or you do not have an account yet.
2020-04-03T10:14:00+00:00	WARNING ::1	jerror	Username and password do not match or you do not have an account yet.
2020-04-03T10:17:12+00:00	WARNING ::1	jerror	JUser: :_load: Unable to load user with ID: 327
2020-04-03T10:17:12+00:00	WARNING ::1	jerror	JUser: :_load: Unable to load user with ID: 86
2020-04-03T10:17:36+00:00	WARNING ::1	jerror	JUser: :_load: Unable to load user with ID: 327
2020-04-03T10:17:36+00:00	WARNING ::1	jerror	JUser: :_load: Unable to load user with ID: 86
2020-04-03T10:17:53+00:00	WARNING ::1	jerror	JUser: :_load: Unable to load user with ID: 327
2020-04-03T10:17:53+00:00	WARNING ::1	jerror	JUser: :_load: Unable to load user with ID: 86
2020-04-03T10:18:22+00:00	WARNING ::1	jerror	JUser: :_load: Unable to load user with ID: 327
2020-04-03T10:18:22+00:00	WARNING ::1	jerror	JUser: :_load: Unable to load user with ID: 86
2020-04-03T10:18:28+00:00	WARNING ::1	jerror	Username and password do not match or you do not have an account yet.
2020-04-03T10:22:15+00:00	WARNING ::1	jerror	JUser: :_load: Unable to load user with ID: 327
2020-04-03T10:22:15+00:00	WARNING ::1	jerror	JUser: :_load: Unable to load user with ID: 86
2020-04-03T10:22:23+00:00	WARNING ::1	jerror	JUser: :_load: Unable to load user with ID: 327
2020-04-03T10:22:23+00:00	WARNING ::1	jerror	JUser: :_load: Unable to load user with ID: 86
2020-04-03T10:24:35+00:00	CRITICAL ::1	error	Uncaught \Throwable of type Joomla\CMS\Component\Exception\MissingComponentException thrown. Stack trace: #0 /Users/codeacious3/Sites/jskartv2/libraries/src/Application/SiteApplication.php(194): Joomla\CMS\Component\ComponentHelper::renderComponent(NULL)
#1 /Users/codeacious3/Sites/jskartv2/libraries/src/Application/SiteApplication.php(233): Joomla\CMS\Application\SiteApplication->dispatch()
#2 /Users/codeacious3/Sites/jskartv2/libraries/src/Application/CMSApplication.php(196): Joomla\CMS\Application\SiteApplication->doExecute()
#3 /Users/codeacious3/Sites/jskartv2/index.php(49): Joomla\CMS\Application\CMSApplication->execute()
#4 {main}
2020-04-03T10:24:46+00:00	WARNING ::1	jerror	JUser: :_load: Unable to load user with ID: 327
2020-04-03T10:24:46+00:00	WARNING ::1	jerror	JUser: :_load: Unable to load user with ID: 86
2020-04-03T10:24:55+00:00	WARNING ::1	jerror	Username and password do not match or you do not have an account yet.
2020-04-03T10:26:39+00:00	WARNING ::1	jerror	JUser: :_load: Unable to load user with ID: 327
2020-04-03T10:26:39+00:00	WARNING ::1	jerror	JUser: :_load: Unable to load user with ID: 86
2020-04-03T11:06:55+00:00	WARNING ::1	jerror	JUser: :_load: Unable to load user with ID: 327
2020-04-03T11:06:55+00:00	WARNING ::1	jerror	JUser: :_load: Unable to load user with ID: 86
2020-04-03T11:08:07+00:00	WARNING ::1	jerror	JUser: :_load: Unable to load user with ID: 327
2020-04-03T11:08:07+00:00	WARNING ::1	jerror	JUser: :_load: Unable to load user with ID: 86
2020-04-03T11:08:17+00:00	WARNING ::1	jerror	JUser: :_load: Unable to load user with ID: 327
2020-04-03T11:08:17+00:00	WARNING ::1	jerror	JUser: :_load: Unable to load user with ID: 86
